number,title,genre,rating,casting,place,period
48,스토리 오브 마이 라이프,라이선스,9.7,"['고영빈', '강필석', '김다현', '송원근', '조성윤', '이석준', '정동화', '이창용', '정원영']",백암아트홀,2019/12/03 ~ 2020/02/28 
49,니진스키,창작,9.2,"['김찬호', '정동화', '정원영', '김종구', '조성윤', '안재영', '임준혁', '홍승안', '신재범', '최미소', '임소라', '백두산', '박수현']",아트원씨어터 1관,2019/05/28 ~ 2019/08/18 
50,영웅본색,창작,9.2,"['유준상', '임태경', '민우혁', '한지상', '박영수', '이장우', '최대철', '박민성', '김대종', '박인배', '제이민', '송주희', '유지', '이정수', '선한국', '문성혁', '이희정', '김은우', '김한결', '김원빈', '정종락', '차형도']",한전아트센터,2019/12/17 ~ 2020/02/09 
51,시라노,라이선스,9.4,"['류정한', '최재웅', '이규형', '조형균', '박지연', '나하나', '송원근', '김용한', '육현욱', '최호중', '문갑주', '정원철', '강동우', '김대식', '김효성', '지원선', '전기수', '이무현']",광림아트센터 BBCH홀,2019/08/10 ~ 2019/10/13 
52,엑스칼리버,창작,9,"['카이', '김준수', '도겸', '엄기준', '이지훈', '박강현', '신영숙', '장은아', '김준현', '손준호', '김소향', '민경아', '조원희', '이종문', '이상준', '민준호', '정재희', '최훈호', '이종영', '박세요', '박민성', '박세훈', '김진욱', '정다예', '장향희', '나재엽', '박형석', '김정환']",세종문화회관 대극장,2019/06/15 ~ 2019/08/04 
53,아이다,라이선스,9.5,"['윤공주', '전나영', '정선아', '아이비', '김우형', '최재림', '박시원', '박성환', '김선동', '오세준', '유승엽', '박종배', '이종원', '김아름']",블루스퀘어 신한카드홀 (구 인터파크홀),2019/11/16 ~ 2020/02/23 
54,여신님이 보고 계셔,창작,9.7,"['성두섭', '조성윤', '서경수', '정욱진', '정휘', '진호', '박준휘', '홍우진', '윤석원', '차용학', '강기둥', '안지환', '강기헌', '조풍래', '김대웅', '진태화', '손유동', '이지숙', '한보라', '최연우']",유니플렉스 1관 (대극장),2019/11/16 ~ 2020/03/01 
55,신흥무관학교,창작,9.5,"['지창욱', '고은성', '강하늘', '조권', '김성규', '온유', '홍서영', '이태은', '임찬민', '신혜지', '김성기', '김태문', '오진영', '진상현', '이재균', '백동현']",광림아트센터 BBCH홀,2019/02/27 ~ 2019/04/21 
56,사의찬미,창작,9.5,"['정문성', '정동화', '김경수', '주민진', '안유진', '정연', '최연우', '최수진', '김재범', '정민', '에녹', '김종구']",대학로 티오엠 1관,2019/07/06 ~ 2019/10/20 
57,마리 앙투아네트,라이선스,9.3,"['김소현', '김소향', '손준호', '박강현', '정택운(빅스, 레오)', '황민현', '장은아', '김연지', '민영기', '김준현', '이한밀', '최지이', '윤선용', '문성혁', '김영주', '주아', '손의완', '주홍균', '최종선', '김정겸', '전재현', '강동우', '이지현', '유신']",디큐브아트센터,2019/08/24 ~ 2019/11/17 
58,블루레인,창작,8.8,"['이창희', '이주광', '임병근', '박유덕', '김주호', '박시원', '김려원', '최미소', '한지연', '한유란', '임강성', '조환지']",세종문화회관 S씨어터,2019/08/09 ~ 2019/09/15 
59,그림자를 판 사나이,창작,9.3,"['양지원', '장지후', '최민우', '김찬호', '조형균', '박규원', '여은', '전예지', '조남희', '지혜근', '심건우', '남궁민희', '김수진', '김정민', '공민섭']",홍익대 대학로 아트센터 대극장,2019/11/16 ~ 2020/02/02 
60,마리 퀴리,창작,9.8,"['김소향', '리사', '정인지', '김히어라', '이봄소리', '김찬호', '양승리', '김지휘', '임별', '김아영', '이예지', '장민수', '주다온', '조훈']",충무아트센터 중극장 블랙,2020/02/07 ~ 2020/03/29 
61,안나 카레니나,라이선스,8.5,"['김소현', '윤공주', '김우형', '민우혁', '서범석', '민영기', '최수형', '강태을', '임혜영', '이지혜', '유지', '박진우', '김지강', '박시원', '조휘', '이소유', '한지연', '최병광', '배희진', '김가희', '강혜정', '이지혜', '한경미', '김하연', '신지섭', '최아준', '차형도']",블루스퀘어 신한카드홀 (구 인터파크홀),2019/05/17 ~ 2019/07/14 
62,신과 함께_이승편,창작,7.8,"['고창석', '오종혁', '최인형', '김건혜', '송문선', '박석용', '이윤우', '고미경', '강상준', '고석진', '김용한']",LG아트센터,2019/06/21 ~ 2019/06/29 
63,빅 피쉬,라이선스,9,"['남경주', '박호산', '손준호', '구원영', '김지우', '이창용', '김성철', '김환희', '주아', '이든', '황이건', '김성수', '권상석', '인선호', '박성룡', '노해영', '전기수']",예술의전당 CJ 토월극장,2019/12/04 ~ 2020/02/09 
64,랭보,창작,9.6,"['정동화', '백형훈', '윤소호', '김재범', '에녹', '김종구', '정상윤', '이용규', '백기범', '정의제']",예스24스테이지 1관,2019/09/07 ~ 2019/12/01 
65,원 모어,창작,9,"['유제윤', '황민수', '김진욱', '문진아', '서유나', '효은', '원종환', '라준', '김아영', '김은주']",동양예술극장 2관 (구.아트센터K 세모극장),2019/09/07 ~ 2019/10/27 
66,귀환,창작,9.8,"['온유', '시우민', '이재균', '차학연', '김민석', '이성열', '이지숙', '최수진', '이정열', '김순택', '조권', '고은성', '김성규', '윤지성', '주예원', '김성건']",서울 올림픽 공원 우리금융아트홀,2019/10/22 ~ 2019/12/01 
67,그리스,뮤지컬,8.8,"['서경수', '김태오', '정대현', '양서윤', '한재아', '박광선', '임정모', '허혜진', '황우림', '기세중', '이석준', '김이후', '정수지', '김이담', '이상운', '임남정', '이가은', '이우종', '배나라', '정예주', '이상아', '김현숙', '이선덕', '이동욱', '길하은', '정현지', '최윤호', '최희재', '이성은']",디큐브아트센터,2019/11/26 ~ 2020/02/02 
68,마이 버킷 리스트,창작,9.3,"['김지휘', '박시환', '문남권', '김남호', '주민진']",예스24스테이지 2관,2019/09/05 ~ 2019/09/15 
69,이선동 클린센터,창작,8.4,"['김바다', '기세중', '강정우', '양승리', '이봄소리', '금조', '차청화', '이현진', '장격수', '최영우', '김동현', '김방언']",대학로 SH 아트홀,2019/10/04 ~ 2019/11/10 
70,잭 더 리퍼,라이선스,8.9,"['엄기준', '최성원', '정동하', '환희', '켄', '신성우', '서영주', '김법래', '이건명', '민영기', '김준현', '정필립', '강성진', '장대웅', '스테파니', '김여진', '백주연', '소냐', '공민섭', '유영민', '김지연', '최아준', '최원섭', '윤태호']",서울 올림픽 공원 우리금융아트홀,2019/01/25 ~ 2019/03/31 
